title,author,Coverdate,Volume,Issue,Pages,DOI
When Transactions Went High-Tech,Nikolaj Hesselholt Munck,Fall 2006,1,(4),90-103,https://doi.org/10.3905/jot.2006.654305
Systematic Internalisers—The New Trading Animals in Europe,Peter Gomber and Roland Wittner,Fall 2006,1,(4),104-110,https://doi.org/10.3905/jot.2006.654306
Editor's Letter,Brian R Bruce,Winter 2007,2,(1),8,https://doi.org/10.3905/jot.2007.669808
Trade Shredding,Lynn Phillips Kugele and Robert A. Wood,Winter 2007,2,(1),9-29,https://doi.org/10.3905/jot.2007.669797
VWAP Cost Excluding Own Trades,Gang Hu,Winter 2007,2,(1),30-34,https://doi.org/10.3905/jot.2007.669798
Market Transparency and Institutional Trader Behavior after a Tick Change,Ryan Garvey and Fei Wu,Winter 2007,2,(1),35-48,https://doi.org/10.3905/jot.2007.669800
TRACE,Harrell Smith,Winter 2007,2,(1),49-66,https://doi.org/10.3905/jot.2007.669801
"Investor Type, Transaction Fees, and Single-Stock Futures",Travis L. Jones,Winter 2007,2,(1),67-72,https://doi.org/10.3905/jot.2007.669802
Articulating True Willingness to Trade,Anders Mårtensson,Winter 2007,2,(1),73-78,https://doi.org/10.3905/jot.2007.669803
Trading the CDS Basis,Moorad Choudhry,Winter 2007,2,(1),79-94,https://doi.org/10.3905/jot.2007.669805
Convergence of Energy and Financial Markets,"Prabhu Anbunathan,Pradeep Roy and Raghu Anantharam",Winter 2007,2,(1),95-102,https://doi.org/10.3905/jot.2007.669806
The Buyside and the Three Phase-Evolution of Electronic Trading,Peter Curley,Winter 2007,2,(1),103-106,https://doi.org/10.3905/jot.2007.669807
Editor's Letter,Brian R Bruce,Spring 2007,2,(2),9,https://doi.org/10.3905/jot.2007.682147
Execution Risk,Robert F Engle and Robert Ferstenberg,Spring 2007,2,(2),10-20,https://doi.org/10.3905/jot.2007.682136
Equity Trading Capacity Revisited,Joanne M. Hill,Spring 2007,2,(2),21-36,https://doi.org/10.3905/jot.2007.682137
Sources of Intraday Noise,"Kimberly C. Gleason,Chun I Lee and Jeff Madura",Spring 2007,2,(2),37-52,https://doi.org/10.3905/jot.2007.682138
Statistical Methods to Compare Algorithmic Performance,Robert Kissell,Spring 2007,2,(2),53-62,https://doi.org/10.3905/jot.2007.682139
Who Wants to Dance?,Thomas O. Miller and Michael S. Pagano,Spring 2007,2,(2),63-72,https://doi.org/10.3905/jot.2007.682140
Trading Volatility in the Asian Sub-Continent,Shiv Kumar and Kishore Kumar,Spring 2007,2,(2),73-76,https://doi.org/10.3905/jot.2007.682141
Internalization in European Equity Markets Following the Adoption of the EU MiFID Directive,Mario Anolli and Giovanni Petrella,Spring 2007,2,(2),77-88,https://doi.org/10.3905/jot.2007.682142
Effects of Regulations and Technology on U.S. Stocks,Dana D Hobson,Spring 2007,2,(2),89-96,https://doi.org/10.3905/jot.2007.682143
"Hello Hybrid, Goodbye Price Improvement!",Leslie Boni and Michael Rosen,Spring 2007,2,(2),97-101,https://doi.org/10.3905/jot.2007.682144
Is This Really Goodbye? And Why?,Joseph Gawronski,Spring 2007,2,(2),102-107,https://doi.org/10.3905/jot.2007.682145
Liquidity Aggregation,Gabriel Butler,Spring 2007,2,(2),108-114,https://doi.org/10.3905/jot.2007.682146
Editor's Letter,Brian R Bruce,Summer 2007,2,(3),10,https://doi.org/10.3905/jot.2007.688955
Shortfall Surprises,Kwaku Abrokwah and George Sofianos,Summer 2007,2,(3),11-31,https://doi.org/10.3905/jot.2007.688944
"If Best Execution Is a Process, What Does That Process Look Like?",Wayne H. Wagner and Mark Edwards,Summer 2007,2,(3),32-36,https://doi.org/10.3905/jot.2007.688945
Noise Trading and Market Efficiency,Damir Tokic,Summer 2007,2,(3),37-44,https://doi.org/10.3905/jot.2007.688946
Implied Trading in Energy Futures,John J. Blank,Summer 2007,2,(3),45-48,https://doi.org/10.3905/jot.2007.688948
MiFID Best Execution Benchmark,Kiran Karande,Summer 2007,2,(3),49-57,https://doi.org/10.3905/jot.2007.688949
How Important Is Money Management?,Paul Lajbcygier and Eugene Lim,Summer 2007,2,(3),58-75,https://doi.org/10.3905/jot.2007.688950
Time of Day and Market Impact,Scott Lyden,Summer 2007,2,(3),76-81,https://doi.org/10.3905/jot.2007.688951
Clearing the Hurdle,Jarod Winters and Scott Kurland,Summer 2007,2,(3),82-83,https://doi.org/10.3905/jot.2007.688952
A Boosting Approach for Automated Trading,Germán Creamer and Yoav Freund,Summer 2007,2,(3),84-96,https://doi.org/10.3905/jot.2007.688953
VIX Futures and Options,Matthew T. Moran and Srikant Dash,Summer 2007,2,(3),96-105,https://doi.org/10.3905/jot.2007.688954
Four Easy Pieces,Jamie Selway,Fall 2007,2,(4),1-2,https://doi.org/10.3905/jot.2007.694831
Editor's Letter,Brian R Bruce,Fall 2007,2,(4),3-11,https://doi.org/10.3905/jot.2007.694824
Investing and Trading Consistency,Robert Kissell and Roberto Malamut,Fall 2007,2,(4),12-22,https://doi.org/10.3905/jot.2007.694825
Professional Trader Order-Selection and Prior Outcomes,Ryan Garvey and Fei Wu,Fall 2007,2,(4),23-33,https://doi.org/10.3905/jot.2007.694826
The Magic of Hindsight,Milan Borkovec and Hans G. Heidle,Fall 2007,2,(4),34-49,https://doi.org/10.3905/jot.2007.694827
The Trader Interaction Effect on the Impact of Overconfidence on Trading Performance,Philip Y.K. Cheng,Fall 2007,2,(4),50-63,https://doi.org/10.3905/jot.2007.694828
The Paradigm Shift in Equity Block Trading,Alfred R. Berkeley,Fall 2007,2,(4),64-68,https://doi.org/10.3905/jot.2007.694829
The New Landscape,"Michael Chlistalla,Peter Gomber and Sven S. Groth",Fall 2007,2,(4),69-79,https://doi.org/10.3905/jot.2007.694830
The Transaction Costs of Risk Management vs. Speculation in an Electronic Trading Environment,Lorne N. Switzer and Haibo Fan,Fall 2007,2,(4),82-101,https://doi.org/10.3905/jot.2007.694832
"Anonymity, Frontrunning and Market Integrity",Carole Comerton-Forde and Kar Mei Tang,Fall 2007,2,(4),101-118,https://doi.org/10.3905/jot.2007.694833
Editor's Letter,Brian R Bruce,Winter 2008,3,(1),8,https://doi.org/10.3905/jot.2008.700233
Execution Costs and Market Design Worldwide,Frederick H. deB. Harris,Winter 2008,3,(1),9-24,https://doi.org/10.3905/jot.2008.700222
Global Securities Exchange Landscape,Perrine Fiorina,Winter 2008,3,(1),25-28,https://doi.org/10.3905/jot.2008.700221
"Execution Quality at the New, Fast NYSE",Kwaku Abrokwah and George Sofianos,Winter 2008,3,(1),29-34,https://doi.org/10.3905/jot.2008.700225
Transaction Cost Analysis and Liquidity Discovery with Equity Options,Scott Larison,Winter 2008,3,(1),35-39,https://doi.org/10.3905/jot.2008.700223
Illuminating the New Dark Influence on Trading and U.S. Market Structure,Carl Carrie,Winter 2008,3,(1),40-55,https://doi.org/10.3905/jot.2008.700218
Divergent Expectations,"Paul L. Davis,Michael S. Pagano and Robert A. Schwartz",Winter 2008,3,(1),56-66,https://doi.org/10.3905/jot.2008.700220
Price Discovery in the U.S. Stock Options Market,Yusif E. Simaan and Liuren Wu,Winter 2008,3,(1),68-86,https://doi.org/10.3905/jot.2008.700224
Editor's Letter,Brian R Bruce,Summer 2008,3,(3),7-8,https://doi.org/10.3905/jot.2008.708839
The Incredible Story of Transaction Cost Management,Wayne H. Wagner,Summer 2008,3,(3),8-14,https://doi.org/10.3905/jot.2008.708831
The Limits of Liquidity,Marcus Hooper and Robert A. Schwartz,Summer 2008,3,(3),15-19,https://doi.org/10.3905/jot.2008.708832
Are You Playing in a Toxic Dark Pool?,Hitesh Mittal,Summer 2008,3,(3),20-33,https://doi.org/10.3905/jot.2008.708833
Managing Risks and Avoiding Pitfalls when Interacting with Non-Displayed Liquidity,Richard Johnson,Summer 2008,3,(3),34-38,https://doi.org/10.3905/jot.2008.708834
Calculating the VIX in Excel,Tom Arnold and John H. Earl,Summer 2008,3,(3),39-45,https://doi.org/10.3905/jot.2008.708835
The Naked Truth,Robert Brooks and Clay M. Moffett,Summer 2008,3,(3),46-59,https://doi.org/10.3905/jot.2008.708836
A Cross-Country Model for the Influence of the Pre-Trade Transparency on Market Liquidity and Price Volatility,"Caterina Lucarelli,Camilla Mazzoli and Giulio Palomba",Summer 2008,3,(3),60-75,https://doi.org/10.3905/jot.2008.708837
Integrating Liquidity Risk Factor into a Parametric Value at Risk Method,Mazin A.M. Al Janabi,Summer 2008,3,(3),76-87,https://doi.org/10.3905/jot.2008.708838
Editor's Letter,Brian R Bruce,Fall 2008,3,(4),1-2,https://doi.org/10.3905/jot.2008.3.4.1
Algorithmic Trading in Turbulent Markets,Robert Flatley,Fall 2008,3,(4),7-13,https://doi.org/10.3905/jot.2008.3.4.7
Market Conditions and Profitability of Proprietary Trading by Futures Floor Traders,Haiwei Chen,Fall 2008,3,(4),14-23,https://doi.org/10.3905/jot.2008.3.4.14
"Dual Traders in Fully Anonymous Stock Markets, Iceberg Orders, and Liqudity Provision",Dirk Schiereck and Christian Voigt,Fall 2008,3,(4),24-46,https://doi.org/10.3905/jot.2008.3.4.24
Demystifying the Relationship between Trading-Level and Portfolio-Level Tracking Error,Aran Murphy and Reid Hellekson,Fall 2008,3,(4),47-50,https://doi.org/10.3905/jot.2008.3.4.47
Are Trading Costs Invisible in Trading Decisions?,Ryan Garvey and Fei Wu,Fall 2008,3,(4),51-65,https://doi.org/10.3905/jot.2008.3.4.51
Simulation of Maker Loss in the Global Inter-Bank FX Market,Anatoly B. Schmidt,Fall 2008,3,(4),66-70,https://doi.org/10.3905/jot.2008.3.4.66
"History Doesn't Repeat Itself, It Rhymes",Justin Schack and Joseph Gawronski,Fall 2008,3,(4),71-81,https://doi.org/10.3905/jot.2008.3.4.71
Evaluating Algorithmic Performance,Marie S. Konstance,Fall 2008,3,(4),82-84,https://doi.org/10.3905/jot.2008.3.4.82
Quantifying the SIGMA X Crossing Benefit,George Sofianos and David Jeria,Fall 2008,3,(4),84-91,https://doi.org/10.3905/jot.2008.3.4.84
Editor's Letter,Brian R. Bruce,Winter 2009,4,(1),1,https://doi.org/10.3905/JOT.2009.4.1.001
Which Factors Influence Trading Costs in Global Equity Markets?,Michael S. Pagano,Winter 2009,4,(1),7-15,https://doi.org/10.3905/JOT.2009.4.1.007
Cul de Sacs and Highways: An Optical Tour of Dark Pool Trading Performance,"Ian Domowitz,Ilya FInkelshteyn and Henry Yegerman",Winter 2009,4,(1),16-22,https://doi.org/10.3905/JOT.2009.4.1.016
Simulation of a Limit Order Driven Market,Julian Lorenz and Jörg Osterrieder,Winter 2009,4,(1),23-30,https://doi.org/10.3905/JOT.2009.4.1.023
Using Minimum Volume in Dark Pools,Robert Burns,Winter 2009,4,(1),31-34,https://doi.org/10.3905/JOT.2009.4.1.031
Exchange Mergers and Electronic Trading,"Jack Clark Francis,Arie Harel and Giora Harpaz",Winter 2009,4,(1),35-43,https://doi.org/10.3905/JOT.2009.4.1.035
CLS and Bilateral Netting: Between a Rock and a Hard Place,Patrick Lefler,Winter 2009,4,(1),44-47,https://doi.org/10.3905/JOT.2009.4.1.044
Day-of-the-Month Effects in the Performance ofMomentum Trading Strategies in the ForeignExchange Market,"Richard D.F. Harris,Evarist Stoja and Fatih Yilmaz",Winter 2009,4,(1),48-55,https://doi.org/10.3905/JOT.2009.4.1.048
"Convergence of the U.S. Options and Equities Markets: Is the Party Over, or Just Getting Started?",Justin Schack and Joseph Gawronski,Winter 2009,4,(1),56-67,https://doi.org/10.3905/JOT.2009.4.1.056
"The Changing State of the NYSE Market: New Common Factors, Players, and Impulse Responses","Sugato Chakravarty,Frederick H. deB. Harris and Robert A Wood",Winter 2009,4,(1),68-94,https://doi.org/10.3905/JOT.2009.4.1.068
Editor's Letter,Brian R Bruce,Spring 2009,4,(2),1,https://doi.org/10.3905/jot.2009.4.2.001
2008: The Trading Year in Review,Robert Kissell and Peter Tannenbaum,Spring 2009,4,(2),10-23,https://doi.org/10.3905/jot.2009.4.2.010
The Impact of the Ban on Short-Selling,Robert Flatley,Spring 2009,4,(2),24-32,https://doi.org/10.3905/jot.2009.4.2.024
"When the Going Gets Tough, the Algos Get Going","Mark Gurliacci,David Jeria and George Sofianos",Spring 2009,4,(2),34-45,https://doi.org/10.3905/jot.2009.4.2.034
Markets at Risk,Robert A Schwartz,Spring 2009,4,(2),46-49,https://doi.org/10.3905/jot.2009.4.2.046
A proposal to stabilize stock prices: Ask the issuing corporations to join the party.,Robert A Schwartz,Spring 2009,4,(2),50-57,https://doi.org/10.3905/jot.2009.4.2.050
Corporate Culture's Role in the Trading Process,"Jeff Brown,Doug Crocker and Vidis Vaiciunas",Spring 2009,4,(2),58-62,https://doi.org/10.3905/jot.2009.4.2.058
Meeting the Cross-Asset Challenge,Vincent Burzynski,Spring 2009,4,(2),63-64,https://doi.org/10.3905/jot.2009.4.2.063
Optimal Index Reconstitution Strategies,Tony Foley,Spring 2009,4,(2),65-71,https://doi.org/10.3905/jot.2009.4.2.065
Capturing the Index Effect via Options,Srikant Dash and Berlinda Liu,Spring 2009,4,(2),72-78,https://doi.org/10.3905/jot.2009.4.2.072
Competition Between High and Low-Accuracy Trading Platforms,Erik Benrud,Spring 2009,4,(2),79-85,https://doi.org/10.3905/jot.2009.4.2.079
Are You Better Off Trading Blocks in Volatile Markets? Yes,Chris Sparrow,Spring 2009,4,(2),86-90,https://doi.org/10.3905/jot.2009.4.2.086
Editor’s Letter,Brian R Bruce,Summer 2009,4,(3),1,https://doi.org/10.3905/JOT.2009.4.3.001
Competition Between High- and Low-Accuracy Trading Platforms,Erik Benrud,Summer 2009,4,(3),10-16,https://doi.org/10.3905/JOT.2009.4.3.010
Measuring Accuracy of Trading Strategies,Irene Aldridge,Summer 2009,4,(3),17-25,https://doi.org/10.3905/JOT.2009.4.3.017
Regulation NMS: Have We Lost Sight of the Objective?,Greg Pratnicki,Summer 2009,4,(3),26-29,https://doi.org/10.3905/JOT.2009.4.3.026
Algorithmic Trading: A Primer,Max Palmer,Summer 2009,4,(3),30-35,https://doi.org/10.3905/JOT.2009.4.3.030
The OMS as an Algorithmic Trading Platform: Five Critical Business and Technical Considerations,Tim Decker,Summer 2009,4,(3),36-39,https://doi.org/10.3905/JOT.2009.4.3.036
Rigorous Strategic Trading: Balanced Portfolio and Mean-Reversion,Charles-Albert Lehalle,Summer 2009,4,(3),40-46,https://doi.org/10.3905/JOT.2009.4.3.040
Latency in Electronic Securities Trading: A Proposal for Systematic Measurement,Miroslav Budimir and Uwe Schweickert,Summer 2009,4,(3),47-55,https://doi.org/10.3905/JOT.2009.4.3.047
Applying Event Processing to Electronic Trading,Don DeLoach and Jeff Wootton,Summer 2009,4,(3),56-58,https://doi.org/10.3905/JOT.2009.4.3.056
Algorithm Switching: Co-Adaptation in the Market Ecology,Chris Stephens and Henri Waelbroeck,Summer 2009,4,(3),59-73,https://doi.org/10.3905/JOT.2009.4.3.059
Algorithmic Activity on Xetra,Markus Gsell,Summer 2009,4,(3),74-86,https://doi.org/10.3905/JOT.2009.4.3.074
TCA Benchmarks: One or Many?,Chris Sparrow,Summer 2009,4,(3),87-89,https://doi.org/10.3905/JOT.2009.4.3.087
Editor’s Letter,Brian R Bruce,Fall 2009,4,(4),1,https://doi.org/10.3905/JOT.2009.4.4.001
Order Handling of Institutional Investors,"Peter Gomber,Bartholomäus Ende and Markus Gsell",Fall 2009,4,(4),10-31,https://doi.org/10.3905/JOT.2009.4.4.010
Are You Better Off Trading Blocks in Volatile Markets? Yes,Chris Sparrow,Fall 2009,4,(4),33-36,https://doi.org/10.3905/JOT.2009.4.4.033
Distributional Properties and Deviations of Transaction Sizes in U.S. Equities,Champike Attanayake,Fall 2009,4,(4),37-40,https://doi.org/10.3905/JOT.2009.4.4.037
Changes in Price and Trading Volume: Bull vs. Bear Markets,"Ki C Han,Suk Hun Lee and David Y Suk",Fall 2009,4,(4),41-49,https://doi.org/10.3905/JOT.2009.4.4.041
Grading Broker Algorithms,Leslie Boni,Fall 2009,4,(4),50-61,https://doi.org/10.3905/JOT.2009.4.4.050
Simulation of Execution Costs in the Global Institutional Spot FX Market,Anatoly B Schmidt,Fall 2009,4,(4),62-68,https://doi.org/10.3905/JOT.2009.4.4.062
Measuring Bond Market Liquidity: Devising A Composite Aggregate Liquidity Score,Moorad Choudhry,Fall 2009,4,(4),69-89,https://doi.org/10.3905/JOT.2009.4.4.069
Editor’s Letter,Brian R Bruce,Winter 2010,5,(1),1,https://doi.org/10.3905/JOT.2010.5.1.001
The Value of Liquidity,Chris Sparrow and Denis Ilijanic,Winter 2010,5,(1),10-15,https://doi.org/10.3905/JOT.2010.5.1.010
Adverse Selection vs. Opportunistic Savings in Dark Aggregators,"Serhan Altunata,Dmitry Rakhlin and Henri Waelbroeck",Winter 2010,5,(1),16-28,https://doi.org/10.3905/JOT.2010.5.1.016
Bringing Intelligent Decision-Making to Order Routing,Dhiren Rawal,Winter 2010,5,(1),30-34,https://doi.org/10.3905/JOT.2010.5.1.030
Efficient Market Hypothesis in Modern Day Equity Secondary Markets: Are Dark Pools a Reflection or Refraction of Wider European Equity Market Structure?,Stuart Baden Powell,Winter 2010,5,(1),35-39,https://doi.org/10.3905/JOT.2010.5.1.035
Fairness in Trading: A Microeconomic Interpretation,Stephen Satchell and Bernd Scherer,Winter 2010,5,(1),40-47,https://doi.org/10.3905/JOT.2010.5.1.040
A Profit Model for Spread Trading with an Application to Energy Futures,"Takashi Kanamura,Svetlozar T Rachev and Frank J Fabozzi",Winter 2010,5,(1),48-62,https://doi.org/10.3905/JOT.2010.5.1.048
Toward “Best Settlement”: Thinking Beyond Execution,John Bird and Colby Payne,Winter 2010,5,(1),63-65,https://doi.org/10.3905/JOT.2010.5.1.063
"Transaction Costs, Trading Volume and Momentum Strategies","Xiafei Li,Chris Brooks and Joëlle Miffre",Winter 2010,5,(1),66-81,https://doi.org/10.3905/JOT.2010.5.1.066
Editor’s Letter,Brian R Bruce,Spring 2010,5,(2),1,https://doi.org/10.3905/JOT.2010.5.2.001
What Is a Quote?,Maureen O’Hara,Spring 2010,5,(2),10-16,https://doi.org/10.3905/JOT.2010.5.2.010
"Dark Pools, Fragmented Markets, and the Quality of Price Discovery",Robert A Schwartz,Spring 2010,5,(2),17-22,https://doi.org/10.3905/JOT.2010.5.2.017
Estimation of Performance and Execution Time Effect on High-Frequency Statistical Arbitrage Strategies,Ivilina Popova and Elmira Popova,Spring 2010,5,(2),23-30,https://doi.org/10.3905/JOT.2010.5.2.023
Algos Gone Wild: Risk in the World of Automated Trading Strategies,Bernard S. Donefer,Spring 2010,5,(2),31-34,https://doi.org/10.3905/JOT.2010.5.2.031
Loosening Your Collar: Alternative Implementations of QQQ Collars,Edward Szado and Thomas Schneeweis,Spring 2010,5,(2),35-56,https://doi.org/10.3905/JOT.2010.5.2.035
Building and Evaluating a Transaction Cost Model: A Primer,Milan Borkovec and Hans G Heidle,Spring 2010,5,(2),57-77,https://doi.org/10.3905/JOT.2010.5.2.057
The Cross Section of Trading Activity in the Over-the-Counter Market for Corporate Bonds,Melissa Woodley,Spring 2010,5,(2),78-91,https://doi.org/10.3905/JOT.2010.5.2.078
"Implicit Trading Costs, Divergence of Opinion, and Short-Selling Constraints in the Limit Book Order Market","Anh H Nguyen,Huu N Duong,Petko S Kalev and Natalie Y Oh",Spring 2010,5,(2),92-101,https://doi.org/10.3905/JOT.2010.5.2.092
The Effect of Political Party Combinations on Stock Returns,Ray R Sturm,Spring 2010,5,(2),102-109,https://doi.org/10.3905/JOT.2010.5.2.102
Editor’s Letter,Brian R. Bruce,Summer 2010,5,(3),2,https://doi.org/10.3905/jot.2010.5.3.002
Structural and Market Efficacy Implications of the Short-Sell Ban in Europe,Jose Marques and Mainak Sarkar,Summer 2010,5,(3),10-16,https://doi.org/10.3905/jot.2010.5.3.010
Alternative Trading Systems in Europe: Trading Performance by European Venues Post-MiFID,Yossi Brandes and Ian Domowitz,Summer 2010,5,(3),17-30,https://doi.org/10.3905/jot.2010.5.3.017
"High-Frequency Equity Pairs Trading: Transaction Costs, Speed of Execution, and Patterns in Returns","David Bowen,Mark C. Hutchinson and Niall O’Sullivan",Summer 2010,5,(3),31-38,https://doi.org/10.3905/jot.2010.5.3.031
Trading Model Uncertainty and Statistical Process Control,"John F.O. Bilson,Andrew Kumiega and Ben Van Vliet",Summer 2010,5,(3),39-50,https://doi.org/10.3905/jot.2010.5.3.039
Is Information Risk Really a Determinant of Security Returns? Evidence from TORQ,Malay K. Dey,Summer 2010,5,(3),51-58,https://doi.org/10.3905/jot.2010.5.3.051
Developments in Insider Trading: Lessons from Recent SEC Enforcement Failures and Successes,Ted Kamman and Rory Hood,Summer 2010,5,(3),59-67,https://doi.org/10.3905/jot.2010.5.3.059
Optimal Execution in the Global FX Market,Anatoly B. Schmidt,Summer 2010,5,(3),68-77,https://doi.org/10.3905/jot.2010.5.3.068
Effects of Proposed Regulations on Demand for Technology in Finance,Aleksey Maslov,Summer 2010,5,(3),78-81,https://doi.org/10.3905/jot.2010.5.3.078
Editor’s Letter,Brian R. Bruce,Fall 2010,5,(4),2,https://doi.org/10.3905/jot.2010.5.4.002
Ten Questions Every Institution Should Ask Their Dark Pool Providers,"Jay Bennett,John Colon,John Feng and Jennifer Litwin",Fall 2010,5,(4),10-13,https://doi.org/10.3905/jot.2010.5.4.010
Short Selling during Extreme Market Movements,"Benjamin M Blau,Bonnie F. Van Ness,Robert A. Van Ness and Robert A. Wood",Fall 2010,5,(4),14-27,https://doi.org/10.3905/jot.2010.5.4.014
Transaction Cost Analysis to Optimize Trading Strategies,Carla Gomes and Henri Waelbroeck,Fall 2010,5,(4),29-38,https://doi.org/10.3905/jot.2010.5.4.029
Collateral Management: Aligning FX Risks with the RightRisk Management,Aran Murphy and Joseph Hoffman,Fall 2010,5,(4),40-44,https://doi.org/10.3905/jot.2010.5.4.040
